word,hint
aardvark,"One with a long tongue at dinner?"
aback,"Taken by surprise"
abacus,"Counter culture?"
abandon,"Let go completely"
abashed,"Flustered look"
abate,"Die down"
abbreviate,"Cut short?"
abdicate,"Relinquish the crown"
abdomen,"Six-pack site"
abduct,"Take off with?"
aberrant,"Off script"
abet,"Be an accomplice"
abhor,"View with disgust"
abide,"Stand for"
ability,"What it takes"
abject,"Rock-bottom"
ablaze,"Like a torch"
able,"Up to snuff"
abnormal,"Not quite right"
aboard,"All hands on?"
about,"Roughly speaking"
above,"Higher up"
abracadabra,"Hocus-pocus partner"
abrupt,"No warning given"
absorb,"Take it all in"
absurd,"Beyond reason"
abundance,"More than enough"
abuse,"Misuse of power, say"
academic,"Noted thinker?"
accelerate,"Hit the gas"
accept,"Take as given"
access,"Way in"
accident,"Unplanned event"
acclaim,"Applaud loudly"
accompany,"Tag along"
accord,"Harmony"
account,"Story to tell"
accurate,"Right on target"
accuse,"Blame directly"
ace,"Serve well?"
ache,"Lingering pain"
achieve,"Pull off"
acid,"Burning stuff?"
acorn,"Future oak"
acquire,"Come to have"
acquit,"Clear of charges"
across,"From side to side"
act,"Play a role"
action,"Cue for “Cut!”"
active,"Always moving"
actor,"One in character"
actual,"No joke"
adapt,"Adjust to fit"
addict,"One who can’t quit"
address,"Speak on"
adept,"Highly skilled"
adjust,"Make small changes"
admin,"Office head, briefly"
admire,"Look up to"
admit,"Own up"
adobe,"Southwestern brick"
adopt,"Take as one’s own"
adore,"Love deeply"
adorn,"Dress up"
adult,"Fully grown"
advance,"Move ahead"
advantage,"Winning edge"
adventure,"Risky undertaking"
advice,"Words to heed"
advocate,"Argue for"
aerial,"Up in the air"
affair,"Secret romance, maybe"
affect,"Have an impact"
afford,"Be able to pay"
afraid,"Feeling fear"
after,"Later than"
again,"Once more"
against,"In opposition"
age,"Get older"
agent,"Middleman"
agile,"Light on one’s feet"
agony,"Extreme suffering"
agree,"Be of one mind"
ahead,"Out front"
aid,"Give support"
aim,"Take a shot"
air,"Broadcast, as a show"
alarm,"Early riser’s enemy?"
album,"Collection of tracks"
alert,"Ready to react"
alias,"Alternate identity"
alibi,"Excuse for absence?"
alien,"Visitor from afar"
align,"Get in line"
alike,"Birds of a feather"
alive,"Still kicking"
allow,"Permit"
alloy,"Mixed metal"
almost,"Not quite there"
alone,"By oneself"
along,"With the group"
aloud,"Audibly"
alphabet,"Letters, collectively"
already,"By this point"
also,"In addition"
alter,"Change form"
always,"At all times"
amass,"Gather up"
amaze,"Awe completely"
ambush,"Attack unexpectedly"
amend,"Make corrections"
amid,"Surrounded by"
amount,"Total sum"
amuse,"Entertain lightly"
analogy,"Point of comparison"
anchor,"Evening news regular"
ancient,"From long ago"
angle,"Point of view"
angry,"Seeing red"
animal,"Creature feature star"
ankle,"Joint concern?"
announce,"Make public"
annoy,"Irritate repeatedly"
annual,"Once a year"
answer,"Solution, perhaps"
anthem,"Crowd sing-along"
anxiety,"Nervous tension"
apart,"Separated"
apology,"“My fault”"
appeal,"Court request"
appear,"Come into view"
apple,"Newton’s inspiration?"
apply,"Submit, as a form"
appoint,"Name officially"
approve,"Give the OK"
april,"Tax deadline month"
apt,"Fitting well"
arch,"Curved structure"
area,"Square measure?"
argue,"Debate heatedly"
arise,"Come up"
arm,"Equip for battle"
army,"Large force"
around,"More or less"
arrange,"Put in order"
arrest,"Take into custody"
arrive,"Show up"
arrow,"Cupid’s projectile"
art,"Gallery staple"
aside,"Offstage comment"
ask,"Request"
asleep,"Out cold"
aspect,"Particular feature"
assault,"Violent attack"
assert,"State boldly"
assess,"Evaluate"
asset,"Valuable item"
assign,"Give out"
assist,"Help out"
assume,"Take for granted"
assure,"Put at ease"
asterisk,"Footnote marker"
athlete,"Olympian contender"
atlas,"Map holder"
atom,"Tiny particle"
attack,"Go after"
attempt,"Try out"
attend,"Be present"
attic,"Top-floor space"
attitude,"Outlook on life"
attract,"Draw interest"
auction,"Sale to the highest bidder"
audit,"Financial review"
augment,"Increase size"
aunt,"Parent’s sister"
author,"Story creator"
auto,"Car, informally"
autumn,"Leaf-fall season"
average,"Nothing special"
avoid,"Stay away from"
await,"Look forward to"
awake,"No longer sleeping"
award,"Recognition prize"
aware,"Informed"
away,"Not here"
awesome,"Totally impressive"
awful,"Pretty bad"
awkward,"Socially uneasy"
axis,"Line of spin"
absolve,"Let off the hook"
absorbent,"Quick to soak it up"
abstain,"Sit this one out"
abstract,"Far from concrete"
absurdity,"Total nonsense"
abundance,"Embarrassment of riches"
abundant,"More than plenty"
abuse,"Cross the line"
abut,"Border on"
abuzz,"Full of chatter"
abysmal,"Rock-bottom bad"
abyss,"Bottomless pit"
academia,"Ivory tower world"
academic,"More theoretical than practical"
academy,"School of thought?"
acai,"Trendy berry bowl base"
accelerator,"Gas pedal, essentially"
accent,"Way of speaking"
accentuate,"Make stand out"
acceptance,"Stamp of approval"
accessory,"Finishing touch"
accident-prone,"Always tripping up?"
acclaim,"Standing ovation"
accolade,"High praise"
accommodate,"Make room for"
accomplice,"Partner in crime"
accomplish,"Get it done"
accordion,"Squeeze-box"
accountability,"Answerability"
accountant,"One crunching numbers"
accrue,"Add up over time"
accuracy,"Bullseye quality"
accustomed,"Used to"
ace,"Top of the class"
acerbic,"Sharp-tongued"
acetone,"Nail polish remover, often"
ache,"Persistent throb"
achiever,"Goal-getter"
acidic,"Sour, chemically"
acknowledge,"Give credit to"
acme,"Peak point"
acne,"Teenage nuisance"
acorn,"Tiny oak-to-be"
acoustic,"Unplugged, in music"
acquire,"Come into possession of"
acquisition,"Corporate buyout, maybe"
acquit,"Find innocent"
acre,"Plot of land"
acrid,"Burning to the nose"
acrimony,"Bitter feeling"
acrobat,"High-flyer"
acronym,"NASA or NATO"
across-the-board,"Applying to all"
act out,"Throw a tantrum"
acting,"Pretending professionally"
action figure,"Toy hero"
activewear,"Gym attire"
activist,"Cause champion"
activity,"Something to do"
actor,"One playing a part"
actress,"Leading lady"
actuality,"The real deal"
actuary,"Risk calculator"
acumen,"Business savvy"
acute,"Sharp or severe"
adage,"Old saying"
ad agency,"Mad Men setting"
adaptable,"Able to roll with it"
adapter,"Plug converter"
add-on,"Extra feature"
addition,"Math sum"
additive,"Ingredient extra"
address,"Put into words"
adept,"Skillful sort"
adhesive,"Sticky stuff"
adjacent,"Next door to"
adjustment,"Fine-tuning"
administer,"Run the show"
administration,"Group in charge"
admiral,"Navy bigwig"
admiration,"High regard"
admission,"Ticket, maybe"
admonish,"Scold gently"
adolescent,"Teenager"
adoptive,"Non-biological"
adorable,"Aww-worthy"
adornment,"Something decorative"
adrenaline,"Fight-or-flight fuel"
adrift,"Without direction"
adroit,"Nimble-fingered"
adulation,"Excessive praise"
adultery,"Marital betrayal"
advance,"Move forward"
advancement,"Promotion"
advantageous,"Working in one’s favor"
advent,"Arrival of something big"
adventurer,"Thrill-seeker"
adversary,"Opponent"
adverse,"Working against"
advertise,"Promote publicly"
aerial,"Seen from above"
aerobics,"Cardio workout"
aerosol,"Spray can contents"
affable,"Easy to like"
affection,"Warm feeling"
affidavit,"Sworn statement"
affiliate,"Associated group"
affinity,"Natural liking"
affirmative,"Yes vote"
affix,"Attach to"
afflict,"Cause suffering"
affluent,"Well-off"
afford,"Foot the bill"
afield,"Away from home base"
afloat,"Staying above water"
afoul,"In trouble with"
afro,"Rounded hairstyle"
afterlife,"What comes next?"
aftermath,"Lingering result"
aftershock,"Quake follower"
aftertaste,"Lingering flavor"
again,"Repeat performance"
against time,"Racing the clock"
agate,"Banded stone"
agenda,"Meeting plan"
agent,"Talent rep, maybe"
aggravate,"Make worse"
aggregate,"Total sum"
aggressive,"Not backing down"
agile,"Quick-moving"
aging,"Getting older"
agitate,"Stir up"
agonizing,"Painfully slow"
agreeable,"Easygoing"
agreement,"Deal"
agriculture,"Farming field"
ahead of time,"In advance"
aid station,"Marathon stop"
ailment,"Minor illness"
aimless,"Without direction"
airborne,"Up in the sky"
airbrush,"Touch up digitally"
air-conditioned,"Cool inside"
aircraft,"Flying machine"
airfare,"Cost of flying"
airline,"Delta or United"
airport,"Travel hub"
airspace,"Sky territory"
airtight,"Sealed shut"
aisle,"Wedding walkway"
ajar,"Slightly open"
akimbo,"Hands-on-hips stance"
alabaster,"Smooth and pale"
a la carte,"Ordered individually"
alarm clock,"Morning nuisance"
albatross,"Burden to bear"
album,"Music collection"
alchemy,"Medieval science"
alert,"On guard"
alfresco,"Dining outside"
algae,"Pond scum"
alias,"Fake name"
alibi,"Proof you weren’t there"
alienate,"Push away"
alight,"Get off, as a train"
align,"Straighten out"
alike,"Similar"
alimony,"Divorce payment"
alive,"Breathing"
alkaline,"Basic, chemically"
all ears,"Ready to listen"
all-inclusive,"Nothing extra to pay"
all-knowing,"Omniscient"
all-nighter,"Study session, maybe"
allot,"Divide up"
all-out,"No holding back"
all_over,"Everywhere"
allowance,"Weekly cash, maybe"
alloy,"Metal mix"
allude,"Hint at"
alluring,"Tempting"
ally,"Friendly nation"
alma mater,"Old school"
almanac,"Yearly reference"
