"word","hint"
"aardvark","One with a long tongue at dinner? (8)"
"aback","Taken by surprise (5)"
"abacus","Counter culture? (6)"
"abandon","Let go completely (7)"
"abashed","Flustered look (7)"
"abate","Die down (5)"
"abbreviate","Cut short? (10)"
"abdicate","Relinquish the crown (8)"
"abdomen","Six-pack site (7)"
"abduct","Take off with? (6)"
"aberrant","Off script (8)"
"abet","Be an accomplice (4)"
"abhor","View with disgust (5)"
"abide","Stand for (5)"
"ability","What it takes (7)"
"abject","Rock-bottom (6)"
"ablaze","Like a torch (6)"
"able","Up to snuff (4)"
"abnormal","Not quite right (8)"
"aboard","All hands on? (6)"
"about","Roughly speaking (5)"
"above","Higher up (5)"
"abracadabra","Hocus-pocus partner (11)"
"abrupt","No warning given (6)"
"absorb","Take it all in (6)"
"absurd","Beyond reason (6)"
"abundance","More than enough (9)"
"abuse","Misuse of power, say (5)"
"academic","Noted thinker? (8)"
"accelerate","Hit the gas (10)"
"accept","Take as given (6)"
"access","Way in (6)"
"accident","Unplanned event (8)"
"acclaim","Applaud loudly (7)"
"accompany","Tag along (9)"
"accord","Harmony (6)"
"account","Story to tell (7)"
"accurate","Right on target (8)"
"accuse","Blame directly (6)"
"ace","Serve well? (3)"
"ache","Lingering pain (4)"
"achieve","Pull off (7)"
"acid","Burning stuff? (4)"
"acorn","Future oak (5)"
"acquire","Come to have (7)"
"acquit","Clear of charges (6)"
"across","From side to side (6)"
"act","Play a role (3)"
"action","Cue for “Cut!” (6)"
"active","Always moving (6)"
"actor","One in character (5)"
"actual","No joke (6)"
"adapt","Adjust to fit (5)"
"addict","One who can’t quit (6)"
"address","Speak on (7)"
"adept","Highly skilled (5)"
"adjust","Make small changes (6)"
"admin","Office head, briefly (5)"
"admire","Look up to (6)"
"admit","Own up (5)"
"adobe","Southwestern brick (5)"
"adopt","Take as one’s own (5)"
"adore","Love deeply (5)"
"adorn","Dress up (5)"
"adult","Fully grown (5)"
"advance","Move ahead (7)"
"advantage","Winning edge (9)"
"adventure","Risky undertaking (9)"
"advice","Words to heed (6)"
"advocate","Argue for (8)"
"aerial","Up in the air (6)"
"affair","Secret romance, maybe (6)"
"affect","Have an impact (6)"
"afford","Be able to pay (6)"
"afraid","Feeling fear (6)"
"after","Later than (5)"
"again","Once more (5)"
"against","In opposition (7)"
"age","Get older (3)"
"agent","Middleman (5)"
"agile","Light on one’s feet (5)"
"agony","Extreme suffering (5)"
"agree","Be of one mind (5)"
"ahead","Out front (5)"
"aid","Give support (3)"
"aim","Take a shot (3)"
"air","Broadcast, as a show (3)"
"alarm","Early riser’s enemy? (5)"
"album","Collection of tracks (5)"
"alert","Ready to react (5)"
"alias","Alternate identity (5)"
"alibi","Excuse for absence? (5)"
"alien","Visitor from afar (5)"
"align","Get in line (5)"
"alike","Birds of a feather (5)"
"alive","Still kicking (5)"
"allow","Permit (5)"
"alloy","Mixed metal (5)"
"almost","Not quite there (6)"
"alone","By oneself (5)"
"along","With the group (5)"
"aloud","Audibly (5)"
"alphabet","Letters, collectively (8)"
"already","By this point (7)"
"also","In addition (4)"
"alter","Change form (5)"
"always","At all times (6)"
"amass","Gather up (5)"
"amaze","Awe completely (5)"
"ambush","Attack unexpectedly (6)"
"amend","Make corrections (5)"
"amid","Surrounded by (4)"
"amount","Total sum (6)"
"amuse","Entertain lightly (5)"
"analogy","Point of comparison (7)"
"anchor","Evening news regular (6)"
"ancient","From long ago (7)"
"angle","Point of view (5)"
"angry","Seeing red (5)"
"animal","Creature feature star (6)"
"ankle","Joint concern? (5)"
"announce","Make public (8)"
"annoy","Irritate repeatedly (5)"
"annual","Once a year (6)"
"answer","Solution, perhaps (6)"
"anthem","Crowd sing-along (6)"
"anxiety","Nervous tension (7)"
"apart","Separated (5)"
"apology","“My fault” (7)"
"appeal","Court request (6)"
"appear","Come into view (6)"
"apple","Newton’s inspiration? (5)"
"apply","Submit, as a form (5)"
"appoint","Name officially (7)"
"approve","Give the OK (7)"
"april","Tax deadline month (5)"
"apt","Fitting well (3)"
"arch","Curved structure (4)"
"area","Square measure? (4)"
"argue","Debate heatedly (5)"
"arise","Come up (5)"
"arm","Equip for battle (3)"
"army","Large force (4)"
"around","More or less (6)"
"arrange","Put in order (7)"
"arrest","Take into custody (6)"
"arrive","Show up (6)"
"arrow","Cupid’s projectile (5)"
"art","Gallery staple (3)"
"aside","Offstage comment (5)"
"ask","Request (3)"
"asleep","Out cold (6)"
"aspect","Particular feature (6)"
"assault","Violent attack (7)"
"assert","State boldly (6)"
"assess","Evaluate (6)"
"asset","Valuable item (5)"
"assign","Give out (6)"
"assist","Help out (6)"
"assume","Take for granted (6)"
"assure","Put at ease (6)"
"asterisk","Footnote marker (8)"
"athlete","Olympian contender (7)"
"atlas","Map holder (5)"
"atom","Tiny particle (4)"
"attack","Go after (6)"
"attempt","Try out (7)"
"attend","Be present (6)"
"attic","Top-floor space (5)"
"attitude","Outlook on life (8)"
"attract","Draw interest (7)"
"auction","Sale to the highest bidder (7)"
"audit","Financial review (5)"
"augment","Increase size (7)"
"aunt","Parent’s sister (4)"
"author","Story creator (6)"
"auto","Car, informally (4)"
"autumn","Leaf-fall season (6)"
"average","Nothing special (7)"
"avoid","Stay away from (5)"
"await","Look forward to (5)"
"awake","No longer sleeping (5)"
"award","Recognition prize (5)"
"aware","Informed (5)"
"away","Not here (4)"
"awesome","Totally impressive (7)"
"awful","Pretty bad (5)"
"awkward","Socially uneasy (7)"
"axis","Line of spin (4)"
"absolve","Let off the hook (7)"
"absorbent","Quick to soak it up (9)"
"abstain","Sit this one out (7)"
"abstract","Far from concrete (8)"
"absurdity","Total nonsense (9)"
"abundance","Embarrassment of riches (9)"
"abundant","More than plenty (8)"
"abuse","Cross the line (5)"
"abut","Border on (4)"
"abuzz","Full of chatter (5)"
"abysmal","Rock-bottom bad (7)"
"abyss","Bottomless pit (5)"
"academia","Ivory tower world (8)"
"academic","More theoretical than practical (8)"
"academy","School of thought? (7)"
"acai","Trendy berry bowl base (4)"
"accelerator","Gas pedal, essentially (11)"
"accent","Way of speaking (6)"
"accentuate","Make stand out (10)"
"acceptance","Stamp of approval (10)"
"accessory","Finishing touch (9)"
"accident prone","Always tripping up? (8,5)"
"acclaim","Standing ovation (7)"
"accolade","High praise (8)"
"accommodate","Make room for (11)"
"accomplice","Partner in crime (10)"
"accomplish","Get it done (10)"
"accordion","Squeeze-box (9)"
"accountability","Answerability (14)"
"accountant","One crunching numbers (10)"
"accrue","Add up over time (6)"
"accuracy","Bullseye quality (8)"
"accustomed","Used to (10)"
"ace","Top of the class (3)"
"acerbic","Sharp-tongued (7)"
"acetone","Nail polish remover, often (7)"
"ache","Persistent throb (4)"
"achiever","Goal-getter (8)"
"acidic","Sour, chemically (6)"
"acknowledge","Give credit to (11)"
"acme","Peak point (4)"
"acne","Teenage nuisance (4)"
"acorn","Tiny oak-to-be (5)"
"acoustic","Unplugged, in music (8)"
"acquire","Come into possession of (7)"
"acquisition","Corporate buyout, maybe (11)"
"acquit","Find innocent (6)"
"acre","Plot of land (4)"
"acrid","Burning to the nose (5)"
"acrimony","Bitter feeling (8)"
"acrobat","High-flyer (7)"
"acronym","NASA or NATO (7)"
"across the board","Applying to all (6,3,5)"
"act out","Throw a tantrum (3,3)"
"acting","Pretending professionally (6)"
"action figure","Toy hero (6,6)"
"activewear","Gym attire (10)"
"activist","Cause champion (8)"
"activity","Something to do (8)"
"actor","One playing a part (5)"
"actress","Leading lady (7)"
"actuality","The real deal (9)"
"actuary","Risk calculator (7)"
"acumen","Business savvy (6)"
"acute","Sharp or severe (5)"
"adage","Old saying (5)"
"ad agency","Mad Men setting (2,6)"
"adaptable","Able to roll with it (9)"
"adapter","Plug converter (7)"
"add on","Extra feature (3,2)"
"addition","Math sum (8)"
"additive","Ingredient extra (8)"
"address","Put into words (7)"
"adept","Skillful sort (5)"
"adhesive","Sticky stuff (8)"
"adjacent","Next door to (8)"
"adjustment","Fine-tuning (10)"
"administer","Run the show (10)"
"administration","Group in charge (14)"
"admiral","Navy bigwig (7)"
"admiration","High regard (10)"
"admission","Ticket, maybe (9)"
"admonish","Scold gently (8)"
"adolescent","Teenager (10)"
"adoptive","Non-biological (8)"
"adorable","Aww-worthy (8)"
"adornment","Something decorative (9)"
"adrenaline","Fight-or-flight fuel (10)"
